plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
2.701273999999999914e-05,4.392335129023304582e+07,4.764669000000000000e+07,7.814475065879610938e+00
2.822688000000000104e-05,4.480628030638498068e+07,4.816622000000000000e+07,6.975718031464829494e+00
2.839315999999999837e-05,4.492720000000000000e+07,4.823939604267574102e+07,6.866163995389898744e+00
2.944912000000000037e-05,4.552609651704029739e+07,4.870410000000000000e+07,6.525125159811397069e+00
3.087110999999999724e-05,4.633259000000000000e+07,4.917108249247700721e+07,5.772686604797212517e+00
3.098108999999999987e-05,4.637257076174584776e+07,4.920720000000000000e+07,5.760598526748427872e+00
3.100341999999999665e-05,4.638068833230217546e+07,4.921890000000000000e+07,5.766507718981578989e+00
3.219396000000000101e-05,4.681348244113015383e+07,4.966266000000000000e+07,5.737061927149786023e+00
3.248450999999999775e-05,4.691910537552963942e+07,4.973944000000000000e+07,5.670217888400755690e+00
3.402978000000000269e-05,4.748085361796467751e+07,5.006669000000000000e+07,5.164783975204517041e+00
3.407138999999999974e-05,4.749598000000000000e+07,5.007338100986596942e+07,5.147247814878215699e+00
3.467442000000000267e-05,4.777033609799965471e+07,5.017035000000000000e+07,4.783729637126999279e+00
3.557043000000000292e-05,4.817798713918942213e+07,5.053698000000000000e+07,4.667854827911319227e+00
3.607365999999999709e-05,4.840693796949034184e+07,5.071418000000000000e+07,4.549500811232003450e+00
3.689709000000000218e-05,4.878156782501304895e+07,5.107901000000000000e+07,4.497820484357372806e+00
3.694589000000000076e-05,4.880377000000000000e+07,5.110793171960590780e+07,4.508422943521290804e+00
3.793035000000000184e-05,4.944483893387735635e+07,5.169138000000000000e+07,4.346065177835537696e+00
3.890520000000000149e-05,5.007964994721496850e+07,5.228561000000000000e+07,4.219057696343280206e+00
3.931587999999999939e-05,5.034708000000000000e+07,5.242081699683435261e+07,3.955941772062773865e+00
4.062049000000000112e-05,5.134066706915806979e+07,5.285033000000000000e+07,2.856487236393661533e+00
4.124999999999999977e-05,5.182010000000000000e+07,5.304268849810363352e+07,2.304914273241152056e+00
4.278546999999999678e-05,5.324319000000000000e+07,5.351187993760924786e+07,5.021126858606345111e-01
4.281152000000000308e-05,5.326757476598452032e+07,5.351984000000000000e+07,4.713490063039793565e-01
4.426315000000000327e-05,5.462641000000000000e+07,5.414219967581062764e+07,8.943307200089718467e-01
4.442569999999999717e-05,5.477013622536967695e+07,5.421189000000000000e+07,1.029748686809622393e+00
4.588289000000000007e-05,5.605857927886979282e+07,5.496532000000000000e+07,1.988998297235043733e+00
4.593080999999999808e-05,5.610095000000000000e+07,5.499495363715639710e+07,2.011086999255792485e+00
4.693789000000000267e-05,5.693436398712007701e+07,5.561773000000000000e+07,2.367291845819807783e+00
4.779732999999999931e-05,5.764559776903460175e+07,5.616279000000000000e+07,2.640196060478124274e+00
4.794635000000000216e-05,5.776892000000000000e+07,5.624724807449795306e+07,2.705326887257904378e+00
4.872352999999999732e-05,5.833522121960130334e+07,5.668772000000000000e+07,2.906275326651527546e+00
4.980966000000000245e-05,5.912664243945457786e+07,5.725898000000000000e+07,3.261780841109251039e+00
5.032761999999999707e-05,5.950406000000000000e+07,5.756610331010227650e+07,3.366489267925889539e+00
5.058304999999999675e-05,5.967179446210162342e+07,5.771756000000000000e+07,3.385857721812258525e+00
5.122834000000000155e-05,6.009554018910925835e+07,5.817615000000000000e+07,3.299273308923430292e+00
5.188404000000000274e-05,6.052612190151593834e+07,5.869536000000000000e+07,3.119091358355989829e+00
5.274032000000000194e-05,6.108841945939238369e+07,5.935372000000000000e+07,2.922646566032228055e+00
5.274527000000000263e-05,6.109167000000000000e+07,5.935785790114589781e+07,2.920947891585944589e+00
5.365924999999999959e-05,6.176959654694340378e+07,6.012189000000000000e+07,2.740610028965163369e+00
5.470358000000000116e-05,6.254420762242581695e+07,6.097314000000000000e+07,2.576655265623218671e+00
5.471871000000000249e-05,6.255543000000000000e+07,6.098605884940778464e+07,2.573327708333221775e+00
5.575556000000000256e-05,6.341089928017887473e+07,6.187138000000000000e+07,2.488257543599115884e+00
5.649428999999999812e-05,6.402040000000000000e+07,6.242667709243270755e+07,2.552951689559785464e+00
5.697634000000000140e-05,6.440785835130340606e+07,6.278903000000000000e+07,2.578202516113732301e+00
