time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
2.656032000000000102e-06,1.100380677124525976e-05,1.080410000000000045e-05,1.848435050075983188e+00
2.792904000000000086e-06,1.198577583104672803e-05,1.152844999999999971e-05,3.966932510846890469e+00
2.799792999999999877e-06,1.203519999999999956e-05,1.156922783787694781e-05,4.027685932482782505e+00
2.917290999999999967e-06,1.292650710887550403e-05,1.226473000000000005e-05,5.395773970364647454e+00
3.026427999999999868e-06,1.375438999999999927e-05,1.288731704788692052e-05,6.728110660203312499e+00
3.043149999999999824e-06,1.386640332448030888e-05,1.298270999999999924e-05,6.806693860375142791e+00
3.147340999999999992e-06,1.456433301536226461e-05,1.350256999999999971e-05,7.863414263819887395e+00
3.202639000000000068e-06,1.493474999999999961e-05,1.380708799212226410e-05,8.167268931154284317e+00
3.274280999999999831e-06,1.539893772788979818e-05,1.420161000000000039e-05,8.430929506512274685e+00
3.383110000000000123e-06,1.610406999999999843e-05,1.482630616942554477e-05,8.618220991614403914e+00
3.388337000000000200e-06,1.613963230901038019e-05,1.485630999999999939e-05,8.638230549917045309e+00
3.510638999999999915e-06,1.697172366477614131e-05,1.558848000000000021e-05,8.873499307027632454e+00
3.582702000000000075e-06,1.746201000000000055e-05,1.602583136598447771e-05,8.961648236632980158e+00
3.662404999999999793e-06,1.804712695468647078e-05,1.650954999999999849e-05,9.313257809488886707e+00
3.775778999999999971e-06,1.887942999999999959e-05,1.724495339252645170e-05,9.477999564683607048e+00
3.792544000000000056e-06,1.900409826831118206e-05,1.735369999999999955e-05,9.510353805304820440e+00
3.932744000000000001e-06,2.004665664691111218e-05,1.823428999999999851e-05,9.939332142414723847e+00
3.988040000000000022e-06,2.045784999999999929e-05,1.862183247368907709e-05,9.859489010574252532e+00
4.040874000000000268e-06,2.087284398611164950e-05,1.899211999999999868e-05,9.902654290893543987e+00
4.151462000000000199e-06,2.174147696745160589e-05,1.975231999999999861e-05,1.007049788304162519e+01
4.168479000000000040e-06,2.187513999999999941e-05,1.987682497891120817e-05,1.005349206027094944e+01
4.243454000000000114e-06,2.249743974123321190e-05,2.042538000000000128e-05,1.014453459976367888e+01
4.328522999999999723e-06,2.320352065736482866e-05,2.102972000000000099e-05,1.033680266482305754e+01
4.333105999999999811e-06,2.324155999999999843e-05,2.106280846217424034e-05,1.034406946128993710e+01
4.405956999999999700e-06,2.388035249673466697e-05,2.158878000000000102e-05,1.061464564803877764e+01
4.474519999999999809e-06,2.448154575356874238e-05,2.207747999999999856e-05,1.088922174799272291e+01
4.506136000000000084e-06,2.475876999999999877e-05,2.230125027953958115e-05,1.101964997323528550e+01
4.559660000000000319e-06,2.528779721313867740e-05,2.268007999999999851e-05,1.149783075341303551e+01
4.662304000000000348e-06,2.630232283277484918e-05,2.341798000000000038e-05,1.231678749736249046e+01
4.684297000000000325e-06,2.651969999999999954e-05,2.358317612251522409e-05,1.245177435910013131e+01
4.751648000000000013e-06,2.727520648428564872e-05,2.408907000000000076e-05,1.322648190355895181e+01
4.851310000000000313e-06,2.839315999999999837e-05,2.492868449099811158e-05,1.389754645999442317e+01
4.854181999999999970e-06,2.843199756125778326e-05,2.495288000000000155e-05,1.394274953936291617e+01
4.965091999999999896e-06,2.993181438545747261e-05,2.597524000000000103e-05,1.523209943568364011e+01
5.034552000000000413e-06,3.087110999999999724e-05,2.659597413382028879e-05,1.607437217628855208e+01
5.081188000000000249e-06,3.172561248240877654e-05,2.701273999999999914e-05,1.744685093925598807e+01
5.155062999999999605e-06,3.307920993690633928e-05,2.822688000000000104e-05,1.719045794967895446e+01
5.209212999999999756e-06,3.407138999999999974e-05,2.910123492436752441e-05,1.707884592715611305e+01
5.230758000000000072e-06,3.440884506037357915e-05,2.944912000000000037e-05,1.684167493077409006e+01
5.309360000000000103e-06,3.563997259137770333e-05,3.098108999999999987e-05,1.503782659479606387e+01
5.310984000000000039e-06,3.566540898116867919e-05,3.100341999999999665e-05,1.503701521047898204e+01
5.376968999999999713e-06,3.669891894444323832e-05,3.219396000000000101e-05,1.399318053586212152e+01
5.390244000000000022e-06,3.690684263562259566e-05,3.248450999999999775e-05,1.361366582294945538e+01
5.392736999999999593e-06,3.694589000000000076e-05,3.254665683664578654e-05,1.351669753804302943e+01
5.452232000000000114e-06,3.767234780979516004e-05,3.402978000000000269e-05,1.070405923810015025e+01
5.475100000000000316e-06,3.795157526074726409e-05,3.467442000000000267e-05,9.451218681515829445e+00
5.527861000000000030e-06,3.859580822994806867e-05,3.557043000000000292e-05,8.505318125049557310e+00
5.554880000000000253e-06,3.892572105561165996e-05,3.607365999999999709e-05,7.906214827138868806e+00
5.586832999999999878e-06,3.931587999999999939e-05,3.658754786699218447e-05,7.456996415628079689e+00
5.606079999999999865e-06,3.952415719357924874e-05,3.689709000000000218e-05,7.119984783567610442e+00
5.685200999999999611e-06,4.038034776006669104e-05,3.793035000000000184e-05,6.459201563040386063e+00
5.761287999999999887e-06,4.120370656028824868e-05,3.890520000000000149e-05,5.907967470385056430e+00
5.765565999999999814e-06,4.124999999999999977e-05,3.898843325945418559e-05,5.800609440999822120e+00
5.849450000000000382e-06,4.202567820222824843e-05,4.062049000000000112e-05,3.459308841986513006e+00
5.931615999999999690e-06,4.278546999999999678e-05,4.229358316722737484e-05,1.163029462005426007e+00
5.957051999999999627e-06,4.301873094108009014e-05,4.281152000000000308e-05,4.840074379047673014e-01
6.055318000000000357e-06,4.391987969230578637e-05,4.442569999999999717e-05,1.138575886692186900e+00
6.092750000000000238e-06,4.426315000000000327e-05,4.496617220705099007e-05,1.563446859149706158e+00
6.156239999999999862e-06,4.487192011453278086e-05,4.588289000000000007e-05,2.203370113493764659e+00
6.239518000000000219e-06,4.567042629815321232e-05,4.693789000000000267e-05,2.700299697849200875e+00
6.266674000000000201e-06,4.593080999999999808e-05,4.727563641312842459e-05,2.844650046329082915e+00
6.308619999999999748e-06,4.635276757078472961e-05,4.779732999999999931e-05,3.022265949196889956e+00
6.377168999999999895e-06,4.704233915138175735e-05,4.872352999999999732e-05,3.450470129356883575e+00
6.453320000000000243e-06,4.780838337425946270e-05,4.980966000000000245e-05,4.017848396757857543e+00
6.467034999999999993e-06,4.794635000000000216e-05,4.998877857627748129e-05,4.085774116606897266e+00
6.512537999999999682e-06,4.845597255693308883e-05,5.058304999999999675e-05,4.205118993550029494e+00
6.569157999999999828e-06,4.909010281589516733e-05,5.122834000000000155e-05,4.173934162428129646e+00
6.631736999999999928e-06,4.979097242867489231e-05,5.188404000000000274e-05,4.034126045938424276e+00
6.679653000000000368e-06,5.032761999999999707e-05,5.239728742597666222e-05,3.949951472011888232e+00
6.711678000000000286e-06,5.071602990097270967e-05,5.274032000000000194e-05,3.838221116267956479e+00
