time,subcycling_density,trapezoid_density,relative_difference_percent
2.842601000000000264e-04,1.961825587465171875e+13,1.965748000000000000e+13,1.995379130401315482e-01
2.880644000000000130e-04,1.961868582564033594e+13,1.965795000000000000e+13,1.997368716456398852e-01
2.882782999999999873e-04,1.961871000000000000e+13,1.965785925954492969e+13,1.991532192190289263e-01
2.924725000000000089e-04,1.961936672508280469e+13,1.965608000000000000e+13,1.867782127321180596e-01
2.965808000000000116e-04,1.962001000000000000e+13,1.965695815189308594e+13,1.879647481954251631e-01
2.978526000000000220e-04,1.962043621172440234e+13,1.965723000000000000e+13,1.871768722022261466e-01
3.027659000000000144e-04,1.962208278041878125e+13,1.965904000000000000e+13,1.879909679273186751e-01
3.046375000000000255e-04,1.962271000000000000e+13,1.965967053050871094e+13,1.880017798434313325e-01
3.078120000000000270e-04,1.962341818633426172e+13,1.966074000000000000e+13,1.898291400310379018e-01
3.119759000000000160e-04,1.962434709390308594e+13,1.966072000000000000e+13,1.850029200197859658e-01
3.133337000000000253e-04,1.962465000000000000e+13,1.966083789528523047e+13,1.840607988223559310e-01
3.154310000000000230e-04,1.962506870214910938e+13,1.966102000000000000e+13,1.828557106950230715e-01
3.188584999999999965e-04,1.962575296363582031e+13,1.966011000000000000e+13,1.747550566308107567e-01
3.226659999999999901e-04,1.962651308781106250e+13,1.966167000000000000e+13,1.788093899904611150e-01
3.233517999999999896e-04,1.962665000000000000e+13,1.966171863994055859e+13,1.783599927491618942e-01
3.256269000000000112e-04,1.962759591633822266e+13,1.966188000000000000e+13,1.743682885958888207e-01
3.284579000000000253e-04,1.962877295873350391e+13,1.966167000000000000e+13,1.673156006915795802e-01
3.315867999999999810e-04,1.963007385875137500e+13,1.966124000000000000e+13,1.585156442250081898e-01
3.339826999999999965e-04,1.963107000000000000e+13,1.966115608265992969e+13,1.530229582301316227e-01
3.355839000000000109e-04,1.963192948690164453e+13,1.966110000000000000e+13,1.483666381756639785e-01
3.401619999999999731e-04,1.963438690445374219e+13,1.966058000000000000e+13,1.332264640527279220e-01
3.439496000000000111e-04,1.963642000000000000e+13,1.966060970200752734e+13,1.230363776819055482e-01
3.452627999999999904e-04,1.963699173613287500e+13,1.966062000000000000e+13,1.201806650407006433e-01
3.505930000000000092e-04,1.963931237878855859e+13,1.966044000000000000e+13,1.074626061850162267e-01
3.528844000000000056e-04,1.964031000000000000e+13,1.966063254773653906e+13,1.033667034221578268e-01
3.561861999999999949e-04,1.964149183038675391e+13,1.966091000000000000e+13,9.876536545483445562e-02
3.616289999999999761e-04,1.964344000000000000e+13,1.966215802802949609e+13,9.519823817310646419e-02
3.616375999999999814e-04,1.964344367677692969e+13,1.966216000000000000e+13,9.518955813130557109e-02
3.672001999999999948e-04,1.964582186739957812e+13,1.966389000000000000e+13,9.188483357271565177e-02
3.707979000000000028e-04,1.964736000000000000e+13,1.966484001484268359e+13,8.888968753109599552e-02
3.729943000000000212e-04,1.964844018471592578e+13,1.966542000000000000e+13,8.634351711824217457e-02
3.796135000000000069e-04,1.965169549279807812e+13,1.966674000000000000e+13,7.649720900323020434e-02
3.827947000000000164e-04,1.965326000000000000e+13,1.966608199448421484e+13,6.519852041606992443e-02
3.864302999999999922e-04,1.965531621333243359e+13,1.966533000000000000e+13,5.092102022984819343e-02
3.923517999999999862e-04,1.965866528012966016e+13,1.966809000000000000e+13,4.791883640119525695e-02
3.946409999999999914e-04,1.965996000000000000e+13,1.966902806761364453e+13,4.610328269639161342e-02
3.988918999999999950e-04,1.966308268534893359e+13,1.967077000000000000e+13,3.907988681208923731e-02
4.049416000000000126e-04,1.966752675826418359e+13,1.967317000000000000e+13,2.868496401859184711e-02
4.078727999999999889e-04,1.966968000000000000e+13,1.967449603975081641e+13,2.447859269729687343e-02
4.103352000000000215e-04,1.967158474658368750e+13,1.967561000000000000e+13,2.045808702404906462e-02
4.156750999999999870e-04,1.967571533311805469e+13,1.967836000000000000e+13,1.343946793302547814e-02
4.213695999999999848e-04,1.968012021429934375e+13,1.968202000000000000e+13,9.652391881810150689e-03
4.214986000000000101e-04,1.968022000000000000e+13,1.968210099924044141e+13,9.556902693030569496e-03
4.272941000000000261e-04,1.968503686336337891e+13,1.968574000000000000e+13,3.571806986280900553e-03
4.324714999999999809e-04,1.968934000000000000e+13,1.968973080595274609e+13,1.984821207550193506e-03
