total_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
3.672001999999999948e-04,6.493991626389206946e+07,6.456457000000000000e+07,5.813502109470711776e-01
3.707979000000000028e-04,6.553371000000000000e+07,6.510903406206313521e+07,6.522534761183154117e-01
3.729943000000000212e-04,6.589618703587623686e+07,6.544143000000000000e+07,6.949069356770426475e-01
3.796135000000000069e-04,6.698856911376366764e+07,6.648491000000000000e+07,7.575540280699298856e-01
3.827947000000000164e-04,6.751357000000000000e+07,6.695622861753315479e+07,8.323966178717836506e-01
3.864302999999999922e-04,6.810410526214936376e+07,6.749487000000000000e+07,9.026393593311072827e-01
3.923517999999999862e-04,6.906594225049170852e+07,6.836775000000000000e+07,1.021230405405631370e+00
3.946409999999999914e-04,6.943778000000000000e+07,6.872613733169217408e+07,1.035476015294200192e+00
3.988918999999999950e-04,7.010036435639898479e+07,6.939164000000000000e+07,1.021339683568488699e+00
4.049416000000000126e-04,7.104332621880620718e+07,7.034439000000000000e+07,9.935919819707117462e-01
4.078727999999999889e-04,7.150021000000000000e+07,7.080465622367249429e+07,9.823559825362976339e-01
4.103352000000000215e-04,7.187078983296394348e+07,7.119131000000000000e+07,9.544420982897259265e-01
4.156750999999999870e-04,7.267442013268946111e+07,7.202678000000000000e+07,8.991657445875841370e-01
4.213695999999999848e-04,7.353141609549531341e+07,7.289947000000000000e+07,8.668733743816153803e-01
4.214986000000000101e-04,7.355083000000000000e+07,7.291922858891046047e+07,8.661657882453152046e-01
4.272941000000000261e-04,7.443485118674188852e+07,7.380691000000000000e+07,8.507891561127386426e-01
4.324714999999999809e-04,7.522459000000000000e+07,7.457699302009618282e+07,8.683602726236359093e-01
4.334693999999999939e-04,7.536988660921406746e+07,7.472542000000000000e+07,8.624462856335467498e-01
4.392756000000000265e-04,7.621528311429350078e+07,7.556421000000000000e+07,8.616157229639545001e-01
4.438606000000000105e-04,7.688287000000000000e+07,7.619597043918041885e+07,9.014906652680065857e-01
4.462158000000000248e-04,7.722335096670295298e+07,7.652049000000000000e+07,9.185264844788015859e-01
4.513073999999999949e-04,7.795942131744374335e+07,7.711522000000000000e+07,1.094727237299904399e+00
4.566435000000000199e-04,7.873083796419289708e+07,7.789928000000000000e+07,1.067478369752450806e+00
4.573663000000000056e-04,7.883533000000000000e+07,7.800566788479527831e+07,1.063592092346456131e+00
4.616676000000000113e-04,7.945171792619980872e+07,7.863877000000000000e+07,1.033774976642957144e+00
4.676810999999999902e-04,8.031346874437163770e+07,7.952056000000000000e+07,9.971116204056381660e-01
4.682930999999999769e-04,8.040117000000000000e+07,7.960895390722998977e+07,9.951344087415048278e-01
4.734847000000000036e-04,8.112408809830570221e+07,8.035880000000000000e+07,9.523388829919090526e-01
4.759305000000000133e-04,8.146466000000000000e+07,8.070426788128638268e+07,9.421956715252430836e-01
4.788454999999999947e-04,8.186644166908806562e+07,8.111601000000000000e+07,9.251338534625478394e-01
4.830888999999999886e-04,8.245132000000000000e+07,8.171291662378914654e+07,9.036556357552429919e-01
4.852047000000000066e-04,8.272233646800231934e+07,8.201054000000000000e+07,8.679329120407197617e-01
4.898221999999999602e-04,8.331380000000000000e+07,8.264141359444092214e+07,8.136191968578664335e-01
4.915367000000000130e-04,8.352165588763011992e+07,8.287566000000000000e+07,7.794760097598256721e-01
4.983754999999999652e-04,8.435075174317096174e+07,8.377134000000000000e+07,6.916586784584820569e-01
4.985166999999999767e-04,8.436787000000000000e+07,8.378897323815985024e+07,6.908985030699766883e-01
5.048618999999999850e-04,8.510151579308763146e+07,8.458137000000000000e+07,6.149649657928589752e-01
5.072402000000000161e-04,8.537650000000000000e+07,8.479175446031431854e+07,6.896254752687821510e-01
5.129555000000000052e-04,8.603769527565269172e+07,8.529733000000000000e+07,8.679817711207276076e-01
5.163639999999999506e-04,8.643202000000000000e+07,8.560678991340939701e+07,9.639773754223430746e-01
5.191339999999999800e-04,8.675924182432529330e+07,8.585828000000000000e+07,1.049359274755205185e+00
5.232893000000000180e-04,8.725011000000000000e+07,8.625566447792944312e+07,1.152904598311927931e+00
5.242108999999999788e-04,8.735669040390615165e+07,8.634380000000000000e+07,1.173089907910181751e+00
5.285393999999999900e-04,8.785726904790331423e+07,8.676698000000000000e+07,1.256571391447891983e+00
5.309855000000000477e-04,8.814015351621368527e+07,8.701325000000000000e+07,1.295094156595329116e+00
5.321676000000000444e-04,8.827686000000000000e+07,8.713375158971402049e+07,1.311900829966009763e+00
5.382692000000000336e-04,8.899483627596285939e+07,8.775574000000000000e+07,1.411983165959126207e+00
5.409253000000000368e-04,8.930738000000000000e+07,8.801967489795632660e+07,1.462974162920444687e+00
5.453886999999999711e-04,8.973328298001517355e+07,8.846320000000000000e+07,1.435719010860079248e+00
5.484360000000000190e-04,9.002406000000000000e+07,8.879039462830764055e+07,1.389413096829563488e+00
5.495911000000000242e-04,9.013215265607440472e+07,8.891442000000000000e+07,1.369555867399691484e+00
5.555544000000000151e-04,9.069019000000000000e+07,8.949090419088900089e+07,1.340120339551891027e+00
5.578272999999999912e-04,9.088667366019716859e+07,8.971063000000000000e+07,1.310930109617075123e+00
5.633241999999999894e-04,9.136186000000000000e+07,9.026642165940704942e+07,1.213561278330334892e+00
5.656559999999999930e-04,9.158808482410061359e+07,9.050219000000000000e+07,1.199854748377485070e+00
5.693589000000000419e-04,9.194733000000000000e+07,9.079040245966851711e+07,1.274283965031899113e+00
5.701810000000000081e-04,9.202737903642043471e+07,9.085439000000000000e+07,1.291064786655256480e+00
5.749931000000000226e-04,9.249594000000000000e+07,9.124030108283926547e+07,1.376188923380151641e+00
5.762529999999999866e-04,9.259918569784274697e+07,9.134134000000000000e+07,1.377082597915409323e+00
5.806576999999999615e-04,9.296014000000000000e+07,9.165450320309607685e+07,1.424520074055476204e+00
5.848961999999999651e-04,9.324416253479693830e+07,9.195585000000000000e+07,1.401012045233596570e+00
5.866064999999999951e-04,9.335877000000000000e+07,9.212389687769961357e+07,1.340448205246636215e+00
5.925829000000000079e-04,9.394903000000000000e+07,9.271111278127442300e+07,1.335241463066128453e+00
5.946197999999999545e-04,9.415175947178529203e+07,9.291125000000000000e+07,1.335155292588671605e+00
5.989023000000000003e-04,9.457799000000000000e+07,9.336031129804328084e+07,1.304278750816719068e+00
6.017643999999999944e-04,9.484937072066734731e+07,9.366043000000000000e+07,1.269416252591780037e+00
6.053157999999999889e-04,9.518611000000000000e+07,9.399969782122905552e+07,1.262144673089580005e+00
6.119355999999999624e-04,9.573814000000000000e+07,9.463209212290503085e+07,1.168787302787801297e+00
6.119673999999999644e-04,9.573873181740982831e+07,9.463513000000000000e+07,1.166165056686484514e+00
6.186479000000000370e-04,9.586306000000000000e+07,9.505360177270232141e+07,8.515808051475017848e-01
6.208904999999999806e-04,9.608843412841096520e+07,9.519408000000000000e+07,9.395060369415463297e-01
6.255117999999999833e-04,9.655286000000000000e+07,9.550502072013634443e+07,1.097156224837851246e+00
6.290459000000000415e-04,9.699015771539220214e+07,9.574281000000000000e+07,1.302810848555836287e+00
6.324062000000000303e-04,9.740595000000000000e+07,9.596586729411329329e+07,1.500619695827043021e+00
6.393231999999999778e-04,9.826190000000000000e+07,9.642501894824583828e+07,1.904983863928582766e+00
6.398430999999999997e-04,9.832443632504306734e+07,9.645953000000000000e+07,1.933356222078904230e+00
6.463474999999999776e-04,9.910682000000000000e+07,9.682856698315162957e+07,2.352872801726778818e+00
6.469060999999999692e-04,9.917197040847505629e+07,9.686026000000000000e+07,2.386644851536694478e+00
6.532855000000000389e-04,9.991601000000000000e+07,9.722203006466002762e+07,2.770956267368898995e+00
6.548863000000000253e-04,1.000804281126924753e+08,9.731281000000000000e+07,2.844042950452746688e+00
6.603187999999999636e-04,1.006384000000000000e+08,9.762126120986247063e+07,3.090657457960309884e+00
6.612051999999999556e-04,1.007332383599908650e+08,9.767159000000000000e+07,3.134635527066636840e+00
6.640592000000000066e-04,1.010385956246726662e+08,9.783336000000000000e+07,3.276219506999111797e+00
6.677650999999999943e-04,1.014351000000000000e+08,9.804161468705904484e+07,3.461270322579537151e+00
6.724218000000000339e-04,1.018394662201774567e+08,9.830330000000000000e+07,3.597199911068556855e+00
6.753726000000000260e-04,1.020957000000000000e+08,9.855858853369972110e+07,3.588841438299260389e+00
6.802823999999999633e-04,1.025641174192383140e+08,9.898336000000000000e+07,3.617534724259020784e+00
6.831237999999999460e-04,1.028352000000000000e+08,9.899440963824494183e+07,3.879805310007353292e+00
6.878400000000000009e-04,1.032953781831060797e+08,9.901275000000000000e+07,4.325330003566287829e+00
6.915943000000000134e-04,1.036617000000000000e+08,9.938259719302223623e+07,4.305686234650148769e+00
6.953381000000000232e-04,1.039813425362238884e+08,9.975141000000000000e+07,4.240473930367389066e+00
6.997449999999999894e-04,1.043576000000000000e+08,1.001727888102965206e+08,4.177592776845334477e+00
7.016547999999999622e-04,1.045638989101841301e+08,1.003554000000000000e+08,4.193594874001927764e+00
7.069297000000000428e-04,1.051337000000000000e+08,1.006605867221644074e+08,4.443758399880913146e+00
7.074208000000000015e-04,1.051650503182123452e+08,1.006890000000000000e+08,4.445421365007443448e+00
7.125862999999999642e-04,1.054948000000000000e+08,1.008233685130063444e+08,4.633282497788233201e+00
7.151478000000000175e-04,1.057148860257972479e+08,1.008900000000000000e+08,4.782323348000047325e+00
7.197265999999999473e-04,1.061083000000000000e+08,1.013458559392720312e+08,4.699199603762483690e+00
7.239476999999999805e-04,1.063313831243202090e+08,1.017661000000000000e+08,4.486054908579781397e+00
7.273577000000000037e-04,1.065116000000000000e+08,1.019977833385614604e+08,4.425406625216372625e+00
7.325549999999999683e-04,1.069268090269993693e+08,1.023509000000000000e+08,4.470804875188561844e+00
