time,subcycling_density,trapezoid_density,relative_difference_percent
4.199999999999999598e-06,1.557989000000000000e+10,1.555877000000000000e+10,1.357433781719248889e-01
4.249999999999999966e-06,1.591373500000000000e+10,1.589202000000000000e+10,1.366409053097089044e-01
4.300000000000000335e-06,1.624758000000000000e+10,1.622112000000000000e+10,1.631206723086938426e-01
4.349999999999999856e-06,1.659846999999999619e+10,1.656303000000000000e+10,2.139705114341771408e-01
4.374999999999999617e-06,1.677391499999999619e+10,1.673728000000000000e+10,2.188826380391329096e-01
4.378124999999999693e-06,1.679584562499999619e+10,1.675902000000000000e+10,2.197361480563671809e-01
4.379688000000000274e-06,1.680681444639999962e+10,1.676984000000000000e+10,2.204818078168880591e-01
4.381249999999999769e-06,1.681777624999999619e+10,1.678066000000000000e+10,2.211846852268992414e-01
4.383124999999999645e-06,1.683093462499999619e+10,1.679363000000000000e+10,2.221355656876815021e-01
4.385375000000000343e-06,1.684672467500000000e+10,1.680920000000000000e+10,2.232389108345429751e-01
4.388075000000000334e-06,1.686567273500000000e+10,1.682795000000000000e+10,2.241671445422645237e-01
4.391314999999999985e-06,1.688841040699999809e+10,1.685047000000000000e+10,2.251593397691464549e-01
4.395202999999999735e-06,1.691569561339999580e+10,1.687744000000000000e+10,2.266671568673673254e-01
4.399091000000000332e-06,1.694298081980000114e+10,1.690433000000000000e+10,2.286444940438404905e-01
4.400000000000000224e-06,1.694936000000000000e+10,1.691060743055555534e+10,2.291613095720212989e-01
4.402979000000000082e-06,1.697020376509999847e+10,1.693118000000000000e+10,2.304846153664332764e-01
4.406866999999999832e-06,1.699740771229999733e+10,1.695805000000000000e+10,2.320886676239150848e-01
4.410754999999999582e-06,1.702461165949999619e+10,1.698494000000000000e+10,2.335696181440510555e-01
4.414643000000000179e-06,1.705181560669999886e+10,1.701188000000000000e+10,2.347512838087199016e-01
4.419308999999999805e-06,1.708446314209999657e+10,1.704428000000000000e+10,2.357573455728054768e-01
4.424906999999999747e-06,1.712363178829999733e+10,1.708324000000000000e+10,2.364410281656016688e-01
4.431626000000000352e-06,1.717064395940000153e+10,1.713014000000000000e+10,2.364485018803204608e-01
4.439687999999999699e-06,1.722705296719999695e+10,1.718666000000000000e+10,2.350251136637191429e-01
4.449362999999999738e-06,1.729474797469999695e+10,1.725492000000000000e+10,2.308209756985077354e-01
4.459037000000000384e-06,1.736243598530000305e+10,1.732343000000000000e+10,2.251631766919314215e-01
4.470647000000000261e-06,1.744366999429999924e+10,1.740625000000000000e+10,2.149802185996365633e-01
4.482255999999999899e-06,1.752489700639999771e+10,1.748954000000000000e+10,2.021608710120318397e-01
4.493865999999999776e-06,1.760613101539999771e+10,1.757313000000000000e+10,1.877924729402087878e-01
4.500000000000000114e-06,1.764905000000000000e+10,1.761762362572679520e+10,1.783803249566148219e-01
4.507797000000000405e-06,1.770634781390000153e+10,1.767418000000000000e+10,1.820045620221222293e-01
4.521728000000000188e-06,1.780872255360000229e+10,1.777562000000000000e+10,1.862244669946943598e-01
4.538445999999999610e-06,1.793157812019999695e+10,1.789828000000000000e+10,1.860408944322971270e-01
4.555163999999999879e-06,1.805443368679999924e+10,1.802169000000000000e+10,1.816904341379706189e-01
4.571882000000000148e-06,1.817728925340000153e+10,1.814580000000000000e+10,1.735346658731030112e-01
4.588599000000000178e-06,1.830013747130000305e+10,1.827018000000000000e+10,1.639692181467454213e-01
4.600000000000000004e-06,1.838392000000000000e+10,1.835550678071539688e+10,1.547939788535532268e-01
4.605316999999999600e-06,1.842420531389999771e+10,1.839530000000000000e+10,1.571342348317108784e-01
4.622034999999999870e-06,1.855087258450000000e+10,1.852110000000000000e+10,1.607495478130348820e-01
4.638751999999999900e-06,1.867753227839999771e+10,1.864755000000000000e+10,1.607840086231044352e-01
4.655470000000000169e-06,1.880419954900000000e+10,1.877464000000000000e+10,1.574440255578802017e-01
4.672187999999999591e-06,1.893086681959999847e+10,1.890224000000000000e+10,1.514467047291668811e-01
4.688904999999999621e-06,1.905752651349999619e+10,1.903053000000000000e+10,1.418589681947701187e-01
