time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
4.374999999999999617e-06,1.702096499999999349e-06,1.774513000000000056e-06,4.080922484084405610e+00
4.378124999999999693e-06,1.705166437499999427e-06,1.800195000000000007e-06,5.278792714122668706e+00
4.379688000000000274e-06,1.706701897440000055e-06,1.803438999999999980e-06,5.364035188326299775e+00
4.381249999999999769e-06,1.708236374999999505e-06,1.805057999999999989e-06,5.363906589151178572e+00
4.383124999999999645e-06,1.710078337499999340e-06,1.806675999999999971e-06,5.346706465354087889e+00
4.385375000000000343e-06,1.712288692500000116e-06,1.808611000000000021e-06,5.325761454508453951e+00
4.388075000000000334e-06,1.714941118500000116e-06,1.810932999999999954e-06,5.300686524570474845e+00
4.391314999999999985e-06,1.718124029699999819e-06,1.813730999999999898e-06,5.271287214035603519e+00
4.395202999999999735e-06,1.721943523139999505e-06,1.817095000000000006e-06,5.236461322055285805e+00
4.399091000000000332e-06,1.725763016580000038e-06,1.821119999999999938e-06,5.236172433447543462e+00
4.400000000000000224e-06,1.726655999999999973e-06,1.822058692129629464e-06,5.235983480758374498e+00
4.402979000000000082e-06,1.729711411349999869e-06,1.825135000000000018e-06,5.228303037857481961e+00
4.406866999999999832e-06,1.733699138549999526e-06,1.829145999999999986e-06,5.218110607354494945e+00
4.410754999999999582e-06,1.737686865749999395e-06,1.833157999999999983e-06,5.208014489203908859e+00
4.414643000000000179e-06,1.741674592949999899e-06,1.837173000000000062e-06,5.198117273114734260e+00
4.419308999999999805e-06,1.746460275849999602e-06,1.841194999999999911e-06,5.145284673812405174e+00
4.424906999999999747e-06,1.752201864549999581e-06,1.846027999999999912e-06,5.082595467132694722e+00
4.431626000000000352e-06,1.759093206900000188e-06,1.851840000000000044e-06,5.008358880896830456e+00
4.439687999999999699e-06,1.767361997199999417e-06,1.858830999999999898e-06,4.920781006987750672e+00
4.449362999999999738e-06,1.777285160949999616e-06,1.867247999999999939e-06,4.817937362899857412e+00
4.459037000000000384e-06,1.787207299050000272e-06,1.877392000000000007e-06,4.803722448481709151e+00
4.470647000000000261e-06,1.799115095550000172e-06,1.887574000000000065e-06,4.686380743218538036e+00
4.482255999999999899e-06,1.811021866399999682e-06,1.899857000000000096e-06,4.675885269259760335e+00
4.493865999999999776e-06,1.822929662899999582e-06,1.912204000000000200e-06,4.668661769351000856e+00
4.500000000000000114e-06,1.829220999999999939e-06,1.917665201780202631e-06,4.612077316629532575e+00
4.507797000000000405e-06,1.837521530260000307e-06,1.924607000000000155e-06,4.524844279377547629e+00
4.521728000000000188e-06,1.852352194240000067e-06,1.939586000000000067e-06,4.497547711728172359e+00
4.538445999999999610e-06,1.870149842679999383e-06,1.954645000000000070e-06,4.322787888337815687e+00
4.555163999999999879e-06,1.887947491119999759e-06,1.972852000000000148e-06,4.303643095376662231e+00
4.571882000000000148e-06,1.905745139560000134e-06,1.991191999999999875e-06,4.291241650227589410e+00
